what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1445822995349
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445822995349
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1445822995349
java.vm.specification.version,sysinfo,,,"1.8",1445822995349
java.vm.vendor,sysinfo,,,"Oracle Corporation",1445822995349
java.vm.version,sysinfo,,,"25.65-b01",1445822995349
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1445822995356
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1445822995374
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1445822995421
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1445822995430
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1445822995511
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1445822995517
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1445822995525
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1445822995571
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445823003935
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1445823005951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823007125
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445823010750
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1445823010779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823011169
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1445823011175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1445823011176
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1445823017351
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1445823017392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823017579
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445823035941
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445823036016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823036157
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1445823055111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823057536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823057578
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1445823060446
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1445823060483
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1445823066274
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445823070035
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1445823081212
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1445823081260
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1445823081272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823081284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823081395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823081441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823082998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823088459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823088495
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1445823091716
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445823101341
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445823107181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823110321
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445823113968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823114001
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1445823114016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1445823114016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823114950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823117344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823118218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823123701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823125476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823126902
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445823127036
